Date,Campaign name,Ad group name,Ad name,Ad entity status,Ad ID,Spend in account currency,Impressions,Reach,Frequency,CPM,Result,Cost per result,Pin clicks,CTR,CPC,Outbound clicks,Saves,Engagements,Engagement rate,Total CPA (Checkout),Total ROAS (Checkout),Total conversions (Checkout),Total order value (Checkout),Total click-through conversions (Checkout),Total click-through order value (Checkout),Total engagement conversions (Checkout),Total engagement order value (Checkout),Total view-through conversions (Checkout),Total view-through order value (Checkout),Total CPA (Add to cart),Total ROAS (Add to cart),Total conversions (Add to cart),Total order value (Add to cart),Total click-through conversions (Add to cart),Total click-through order value (Add to cart),Total engagement conversions (Add to cart),Total engagement order value (Add to cart),Total view-through conversions (Add to cart),Total view-through order value (Add to cart),Total CPA (Page visit),Total ROAS (Page visit),Total conversions (Page visit),Total order value (Page visit),Total click-through conversions (Page visit),Total click-through order value (Page visit),Total engagement conversions (Page visit),Total engagement order value (Page visit),Total view-through conversions (Page visit),Total view-through order value (Page visit),Total CPA (Initiate checkout),Total ROAS (Initiate checkout),Total conversions (Initiate checkout),Total order value (Initiate checkout),Average order value (Initiate checkout),Total click-through conversions (Initiate checkout),Total click-through order value (Initiate checkout),Total engagement conversions (Initiate checkout),Total engagement order value (Initiate checkout),Total view-through conversions (Initiate checkout),Total view-through order value (Initiate checkout),Earned saves,Organic pin ID
2026-06-22,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,Conversions Ad | Bedside Bassinet Australia - C,ACTIVE,PP687311495519,0.31,50,44,1.1363636363636365,6.2737,[0],[0.313685],1,0.02,0.313685,1,0,1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P1130966525274846018
2026-06-16,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,Conversions Ad | Baby Change Mat for Floor or D,ACTIVE,PP687311495520,1.36,18,17,1.0588235294117647,75.3975,[0],[0.0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P1130966525274661470
2026-06-17,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,Conversions Ad | Baby Change Mat for Floor or D,ACTIVE,PP687311495520,11.28,750,716,1.047486033519553,15.043234666666667,[6],[5.641213],2,0.0026666666666666666,5.641213,2,0,2,0.0026666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2564852,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P1130966525274661470
2026-06-18,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,Conversions Ad | Baby Change Mat for Floor or D,ACTIVE,PP687311495520,10.78,747,702,1.064102564102564,14.425548862115129,[20],[0.8289142307692308],13,0.01740294511378849,0.8289142307692308,12,0,13,0.01740294511378849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53879425,208.89235547706755,20,2251.00,20,2251.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P1130966525274661470
2026-06-19,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,Conversions Ad | Baby Change Mat for Floor or D,ACTIVE,PP687311495520,5.03,281,270,1.0407407407407407,17.91679715302491,[11],[1.258655],4,0.014234875444839857,1.258655,4,0,4,0.014234875444839857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4576927272727273,287.60661181975996,11,1447.99,9,1447.99,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,P1130966525274661470
2026-06-20,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,Conversions Ad | Baby Change Mat for Floor or D,ACTIVE,PP687311495520,2.43,199,174,1.1436781609195403,12.216884422110551,[1],[2.43116],1,0.005025125628140704,2.43116,1,0,1,0.005025125628140704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.43116,69.51414139752217,1,169.00,1,169.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P1130966525274661470
2026-06-21,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,Conversions Ad | Baby Change Mat for Floor or D,ACTIVE,PP687311495520,0.91,84,79,1.0632911392405062,10.811523809523809,[2],[0.0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.454084,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,P1130966525274661470
2026-06-22,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,Conversions Ad | Baby Change Mat for Floor or D,ACTIVE,PP687311495520,0.45,49,48,1.0208333333333333,9.189224489795917,[0],[0.0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P1130966525274661470
2026-06-16,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,"Conversions Ad | From the very first moment, th",ACTIVE,PP687311495521,0,1,1,1.0,0,[0],[0.0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P1130966525274610712
2026-06-17,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,"Conversions Ad | From the very first moment, th",ACTIVE,PP687311495521,0.24,26,26,1.0,9.140615384615385,[0],[0.0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P1130966525274610712
2026-06-18,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,"Conversions Ad | From the very first moment, th",ACTIVE,PP687311495521,0.93,86,83,1.036144578313253,10.759558139534885,[6],[0.3084406666666667],3,0.03488372093023256,0.3084406666666667,3,0,4,0.046511627906976744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15422033333333335,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P1130966525274610712
2026-06-19,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,"Conversions Ad | From the very first moment, th",ACTIVE,PP687311495521,0.75,74,70,1.0571428571428572,10.129608108108108,[0],[0.0],0,0,0,0,0,5,0.06756756756756757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P1130966525274610712
2026-06-20,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,"Conversions Ad | From the very first moment, th",ACTIVE,PP687311495521,2.37,195,182,1.0714285714285714,12.146164102564102,[0],[0.0],0,0,0,0,0,7,0.035897435897435895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P1130966525274610712
2026-06-21,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,"Conversions Ad | From the very first moment, th",ACTIVE,PP687311495521,1.62,96,89,1.0786516853932584,16.83653125,[4],[0.8081535],2,0.020833333333333332,0.8081535,2,0,5,0.052083333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.538769,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P1130966525274610712
2026-06-22,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,"Conversions Ad | From the very first moment, th",ACTIVE,PP687311495521,0.12,22,20,1.1,5.4205,[0],[0.0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P1130966525274610712
2026-06-16,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,Conversions Ad | The Cocoon Breeze Bedside Bass,ACTIVE,PP687311495522,0.33,11,11,1.0,29.601363636363637,[0],[0.0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P1130966525274344340
2026-06-17,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,Conversions Ad | The Cocoon Breeze Bedside Bass,ACTIVE,PP687311495522,8.57,485,466,1.0407725321888412,17.67197319587629,[14],[4.2854535],2,0.004123711340206186,4.2854535,2,0,2,0.004123711340206186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6593005384615385,310.11653725795884,13,2657.98,13,2657.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P1130966525274344340
2026-06-18,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,Conversions Ad | The Cocoon Breeze Bedside Bass,ACTIVE,PP687311495522,4.53,446,420,1.061904761904762,10.162242152466368,[10],[0.7553933333333334],6,0.013452914798206279,0.7553933333333334,5,0,6,0.013452914798206279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.453236,493.99650513198424,10,2238.97,10,2238.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P1130966525274344340
2026-06-19,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,Conversions Ad | The Cocoon Breeze Bedside Bass,ACTIVE,PP687311495522,5.67,548,519,1.0558766859344895,10.354388686131387,[5],[1.41855125],4,0.0072992700729927005,1.41855125,4,0,4,0.0072992700729927005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.134841,133.93594344934664,5,759.98,4,759.98,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,P1130966525274344340
2026-06-20,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,Conversions Ad | The Cocoon Breeze Bedside Bass,ACTIVE,PP687311495522,1.44,348,337,1.032640949554896,4.139293103448276,[4],[0.720237],2,0.005747126436781609,0.720237,2,0,2,0.005747126436781609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3601185,0,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,P1130966525274344340
2026-06-21,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,Conversions Ad | The Cocoon Breeze Bedside Bass,ACTIVE,PP687311495522,0.54,165,157,1.0509554140127388,3.2758666666666665,[2],[0.540518],1,0.006060606060606061,0.540518,1,0,1,0.006060606060606061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.270259,1478.2116414254474,2,799.00,1,0,0,0,1,799.00,0,0,0,0,0,0,0,0,0,0,0,0,P1130966525274344340
2026-06-22,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,Conversions Ad | The Cocoon Breeze Bedside Bass,ACTIVE,PP687311495522,0.24,58,55,1.0545454545454545,4.213620689655173,[0],[0.0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P1130966525274344340
2026-06-17,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,Conversions Ad | There’s a kind of love that on,ACTIVE,PP687311495523,0.09,15,14,1.0714285714285714,5.877533333333334,[0],[0.0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P1130966525274208331
2026-06-18,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,Conversions Ad | There’s a kind of love that on,ACTIVE,PP687311495523,0.27,36,35,1.0285714285714285,7.444777777777778,[0],[0.0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P1130966525274208331
2026-06-19,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,Conversions Ad | There’s a kind of love that on,ACTIVE,PP687311495523,0.82,65,63,1.0317460317460319,12.598553846153846,[18],[0.0],0,0,0,1,0,4,0.06153846153846154,0,0,0,0,0,0,0,0,0,0,0.2729686666666667,1164.9322388650223,3,953.97,3,953.97,0,0,0,0,0.09098955555555556,645.9837881270867,9,529.00,9,529.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P1130966525274208331
2026-06-20,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,Conversions Ad | There’s a kind of love that on,ACTIVE,PP687311495523,0.89,108,98,1.1020408163265305,8.276777777777777,[3],[0.0],0,0,0,0,0,3,0.027777777777777776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297964,1899.5583359063512,3,1698.00,0,0,0,0,3,1698.00,0,0,0,0,0,0,0,0,0,0,0,0,P1130966525274208331
