Date,Campaign name,Ad group name,Spend in account currency,Impressions,Reach,Outbound clicks,Saves,Engagements,Total conversions (Checkout),Total order value (Checkout)
2026-06-19,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.64,86,74,0,0,0,0,0
2026-06-19,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,2.45,158,128,0,0,0,0,0
2026-06-19,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,1.72,77,69,2,0,4,0,0
2026-06-19,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,1.71,234,185,2,0,2,0,0
2026-06-19,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.38,39,35,1,0,4,0,0
2026-06-19,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,2.32,211,196,3,0,3,0,0
2026-06-19,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,0.18,25,25,0,0,0,0,0
2026-06-19,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,1.19,78,70,0,0,0,0,0
2026-06-19,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.04,7,6,0,0,0,0,0
2026-06-20,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,8.07,447,419,11,0,11,0,0
2026-06-20,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,7.01,598,522,5,0,5,0,0
2026-06-20,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,0.97,260,241,2,0,2,0,0
2026-06-20,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,2.43,199,174,1,0,1,0,0
2026-06-20,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,2.37,195,182,0,0,7,0,0
2026-06-20,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,1.44,348,337,2,0,2,0,0
2026-06-20,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,0.89,108,98,0,0,3,0,0
2026-06-20,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.47,25,24,0,0,0,0,0
