"Campaign name","Ad set name","Ad name",Day,"Delivery status","Delivery level","Result type",Results,"Cost per result","Amount spent (AUD)",Impressions,Reach,"Attribution setting","Quality ranking","Engagement rate ranking","Conversion rate ranking","Ad set name",Purchases,"Purchases conversion value","Link clicks","Reporting starts","Reporting ends"
RB_Cocoon_Sales_Bundles_090226,"RB | Sales | Open Adv+ | Lookalike","RB | Static | Nursery Chairs",2026-04-10,active,ad,,,,22.13,1432,892,"7-day click, 1-day view, or 1-day engaged-view",-,-,-,"RB | Sales | Open Adv+ | Lookalike",,,55,2026-04-10,2026-04-10
RB_Cocoon_Sales_Bundles_090226,"RB | Sales | Open Adv+ | Lookalike","RB | Static | Cot | Built for every milestone",2026-04-10,active,ad,,,,5.35,306,184,"7-day click, 1-day view, or 1-day engaged-view",-,-,-,"RB | Sales | Open Adv+ | Lookalike",,,8,2026-04-10,2026-04-10
RB_Cocoon_Sales_Bundles_090226,"RB | Sales | Open Adv+ | Lookalike","RB | Static | Dresser | Effortless organization",2026-04-10,active,ad,,,,7.45,495,284,"7-day click, 1-day view, or 1-day engaged-view",-,-,-,"RB | Sales | Open Adv+ | Lookalike",,,16,2026-04-10,2026-04-10
"RB | Traffic | 260326","RB | Traffic | LPV | LL | FB IG | 260326","RB | AI generated Video | Bundle | Vibe Sandstone",2026-04-10,active,ad,"Landing page views",51,0.28666667,14.62,1968,1632,"7-day click or 1-day view","Above average",Average,"Below average - Bottom 20% of ads","RB | Traffic | LPV | LL | FB IG | 260326",,,56,2026-04-10,2026-04-10
RB_Cocoon_Sales_Bundles_090226,"RB | Adset - Bundles | Open adv + | 25-38 | Women","RB | Static | Evoke Bundle",2026-04-10,active,ad,,,,15.78,1131,798,Incremental,-,-,-,"RB | Adset - Bundles | Open adv + | 25-38 | Women",,,23,2026-04-10,2026-04-10
RB_Cocoon_Sales_Bundles_090226,"RB | Adset - Bundles | Open adv + | 25-38 | Women","RB | Static | Vibe Sandstone Bundle",2026-04-10,active,ad,,,,11.98,683,470,Incremental,-,-,-,"RB | Adset - Bundles | Open adv + | 25-38 | Women",,,18,2026-04-10,2026-04-10
RB_Cocoon_Sales_Bundles_090226,"RB | Sales | Open Adv+ | Lookalike","RB | Static | Dresser | Effortless organization",2026-04-09,active,ad,,,,1.19,67,53,"7-day click, 1-day view, or 1-day engaged-view",-,-,-,"RB | Sales | Open Adv+ | Lookalike",,,3,2026-04-09,2026-04-09
RB_Cocoon_Sales_Bundles_090226,"RB | Adset - Bundles | Open adv + | 25-38 | Women","RB | Static | Vibe Sandstone Bundle",2026-04-09,active,ad,,,,14.1,684,431,Incremental,-,-,-,"RB | Adset - Bundles | Open adv + | 25-38 | Women",,,11,2026-04-09,2026-04-09
RB_Cocoon_Sales_Bundles_090226,"RB | Adset - Bundles | Open adv + | 25-38 | Women","RB | Static | Evoke Bundle",2026-04-09,active,ad,,,,18.66,1307,936,Incremental,-,-,-,"RB | Adset - Bundles | Open adv + | 25-38 | Women",,,30,2026-04-09,2026-04-09
"RB | Traffic | 260326","RB | Traffic | LPV | LL | FB IG | 260326","RB | AI generated Video | Bundle | Vibe Sandstone",2026-04-09,active,ad,"Landing page views",47,0.31042553,14.59,1866,1462,"7-day click or 1-day view","Above average",Average,"Below average - Bottom 20% of ads","RB | Traffic | LPV | LL | FB IG | 260326",,,53,2026-04-09,2026-04-09
RB_Cocoon_Sales_Bundles_090226,"RB | Sales | Open Adv+ | Lookalike","RB | Static | Easter | Baby with mother | Cot",2026-04-09,inactive,ad,,,,8.16,455,290,"7-day click, 1-day view, or 1-day engaged-view",-,-,-,"RB | Sales | Open Adv+ | Lookalike",,,7,2026-04-09,2026-04-09
RB_Cocoon_Sales_Bundles_090226,"RB | Sales | Open Adv+ | Lookalike","RB | Static | Nursery Chairs",2026-04-09,active,ad,,,,3.59,229,200,"7-day click, 1-day view, or 1-day engaged-view",-,-,-,"RB | Sales | Open Adv+ | Lookalike",,,8,2026-04-09,2026-04-09
RB_Cocoon_Sales_Bundles_090226,"RB | Sales | Open Adv+ | Lookalike","RB | Static | Easter | Cot with a note",2026-04-09,inactive,ad,,,,10.5,655,441,"7-day click, 1-day view, or 1-day engaged-view",-,-,-,"RB | Sales | Open Adv+ | Lookalike",,,7,2026-04-09,2026-04-09
RB_Cocoon_Sales_Bundles_090226,"RB | Sales | Open Adv+ | Lookalike","RB | Static | Easter | Baby with mother | Cot - Copy",2026-04-09,inactive,ad,,,,9.87,524,362,"7-day click, 1-day view, or 1-day engaged-view","Above average",Average,"Below average - Bottom 35% of ads","RB | Sales | Open Adv+ | Lookalike",,,6,2026-04-09,2026-04-09
RB_Cocoon_Sales_Bundles_090226,"RB | Adset - Bundles | Open adv + | 25-38 | Women","RB | Static | Vibe White grow",2026-04-09,active,ad,,,,2.63,106,71,Incremental,-,-,-,"RB | Adset - Bundles | Open adv + | 25-38 | Women",,,,2026-04-09,2026-04-09
RB_Cocoon_Sales_Bundles_090226,"RB | Adset - Bundles | Open adv + | 25-38 | Women","RB | Static | Vibe White grow",2026-04-08,active,ad,,,,2.52,122,96,Incremental,-,-,-,"RB | Adset - Bundles | Open adv + | 25-38 | Women",,,,2026-04-08,2026-04-08
RB_Cocoon_Sales_Bundles_090226,"RB | Sales | Open Adv+ | Lookalike","RB | Static | Easter | Baby with mother | Cot - Copy",2026-04-08,inactive,ad,,,,12.84,803,550,"7-day click, 1-day view, or 1-day engaged-view","Above average",Average,"Below average - Bottom 35% of ads","RB | Sales | Open Adv+ | Lookalike",,,11,2026-04-08,2026-04-08
RB_Cocoon_Sales_Bundles_090226,"RB | Sales | Open Adv+ | Lookalike","RB | Static | Easter | Baby with mother | Cot",2026-04-08,inactive,ad,,,,7.47,488,335,"7-day click, 1-day view, or 1-day engaged-view",-,-,-,"RB | Sales | Open Adv+ | Lookalike",,,5,2026-04-08,2026-04-08
RB_Cocoon_Sales_Bundles_090226,"RB | Sales | Open Adv+ | Lookalike","RB | Static | Easter | Cot with a note",2026-04-08,inactive,ad,,,,9.96,722,517,"7-day click, 1-day view, or 1-day engaged-view",-,-,-,"RB | Sales | Open Adv+ | Lookalike",,,5,2026-04-08,2026-04-08
"RB | Traffic | 260326","RB | Traffic | LPV | LL | FB IG | 260326","RB | AI generated Video | Bundle | Vibe Sandstone",2026-04-08,active,ad,"Landing page views",57,0.26438596,15.07,2088,1737,"7-day click or 1-day view","Above average",Average,"Below average - Bottom 10% of ads","RB | Traffic | LPV | LL | FB IG | 260326",,,68,2026-04-08,2026-04-08
RB_Cocoon_Sales_Bundles_090226,"RB | Adset - Bundles | Open adv + | 25-38 | Women","RB | Static | Evoke Bundle",2026-04-08,active,ad,,,,16.38,1149,814,Incremental,-,-,-,"RB | Adset - Bundles | Open adv + | 25-38 | Women",,,33,2026-04-08,2026-04-08
RB_Cocoon_Sales_Bundles_090226,"RB | Adset - Bundles | Open adv + | 25-38 | Women","RB | Static | Vibe Sandstone Bundle",2026-04-08,active,ad,"Website purchases",1,10.24,10.24,659,481,Incremental,-,-,-,"RB | Adset - Bundles | Open adv + | 25-38 | Women",1,1059.49,8,2026-04-08,2026-04-08
RB_Cocoon_Sales_Bundles_090226,"RB | Sales | Open Adv+ | Lookalike","RB | Static | Easter | Cot with a note",2026-04-07,inactive,ad,,,,11.96,723,495,"7-day click, 1-day view, or 1-day engaged-view",-,-,-,"RB | Sales | Open Adv+ | Lookalike",,,5,2026-04-07,2026-04-07
RB_Cocoon_Sales_Bundles_090226,"RB | Adset - Bundles | Open adv + | 25-38 | Women","RB | Static | Evoke Bundle",2026-04-07,active,ad,,,,18.51,1320,890,Incremental,-,-,-,"RB | Adset - Bundles | Open adv + | 25-38 | Women",,,25,2026-04-07,2026-04-07
"RB | Traffic | 260326","RB | Traffic | LPV | LL | FB IG | 260326","RB | AI generated Video | Bundle | Vibe Sandstone",2026-04-07,active,ad,"Landing page views",40,0.3465,13.86,1799,1493,"7-day click or 1-day view","Above average","Below average - Bottom 35% of ads","Below average - Bottom 10% of ads","RB | Traffic | LPV | LL | FB IG | 260326",,,48,2026-04-07,2026-04-07
RB_Cocoon_Sales_Bundles_090226,"RB | Adset - Bundles | Open adv + | 25-38 | Women","RB | Static | Vibe Sandstone Bundle",2026-04-07,active,ad,"Website purchases",0,,10.85,614,443,Incremental,-,-,-,"RB | Adset - Bundles | Open adv + | 25-38 | Women",0,47.66,13,2026-04-07,2026-04-07
RB_Cocoon_Sales_Bundles_090226,"RB | Sales | Open Adv+ | Lookalike","RB | Static | Easter | Baby with mother | Cot",2026-04-07,inactive,ad,,,,9.38,520,342,"7-day click, 1-day view, or 1-day engaged-view",-,-,-,"RB | Sales | Open Adv+ | Lookalike",,,5,2026-04-07,2026-04-07
RB_Cocoon_Sales_Bundles_090226,"RB | Adset - Bundles | Open adv + | 25-38 | Women","RB | Static | Vibe White grow",2026-04-07,active,ad,,,,4.36,181,130,Incremental,-,-,-,"RB | Adset - Bundles | Open adv + | 25-38 | Women",,,2,2026-04-07,2026-04-07
RB_Cocoon_Sales_Bundles_090226,"RB | Sales | Open Adv+ | Lookalike","RB | Static | Easter | Baby with mother | Cot - Copy",2026-04-07,inactive,ad,,,,14.42,869,573,"7-day click, 1-day view, or 1-day engaged-view",Average,Average,Average,"RB | Sales | Open Adv+ | Lookalike",,,22,2026-04-07,2026-04-07
"RB | Traffic | 260326","RB | Traffic | LPV | LL | FB IG | 260326","RB | AI generated Video | Bundle | Vibe Sandstone",2026-04-06,active,ad,"Landing page views",54,0.27537037,14.87,1990,1632,"7-day click or 1-day view","Above average","Below average - Bottom 35% of ads","Below average - Bottom 10% of ads","RB | Traffic | LPV | LL | FB IG | 260326",,,63,2026-04-06,2026-04-06
RB_Cocoon_Sales_Bundles_090226,"RB | Adset - Bundles | Open adv + | 25-38 | Women","RB | Static | Evoke Bundle",2026-04-06,active,ad,,,,20.81,1616,1129,Incremental,-,-,-,"RB | Adset - Bundles | Open adv + | 25-38 | Women",,,44,2026-04-06,2026-04-06
RB_Cocoon_Sales_Bundles_090226,"RB | Adset - Bundles | Open adv + | 25-38 | Women","RB | AI generated Video | Bundle | Vibe Sandstone",2026-04-06,inactive,ad,,,,5.06,353,214,Incremental,-,-,-,"RB | Adset - Bundles | Open adv + | 25-38 | Women",,,2,2026-04-06,2026-04-06
RB_Cocoon_Sales_Bundles_090226,"RB | Adset - Bundles | Open adv + | 25-38 | Women","RB | Static | Vibe Sandstone Bundle",2026-04-06,active,ad,"Website purchases",0,,12.02,758,577,Incremental,-,-,-,"RB | Adset - Bundles | Open adv + | 25-38 | Women",0,241.5,18,2026-04-06,2026-04-06
RB_Cocoon_Sales_Bundles_090226,"RB | Sales | Open Adv+ | Lookalike","RB | Static | Easter | Cot with a note",2026-04-06,inactive,ad,"Website purchases",2,8.085,16.17,1204,797,"7-day click, 1-day view, or 1-day engaged-view",-,-,-,"RB | Sales | Open Adv+ | Lookalike",2,1653.68,5,2026-04-06,2026-04-06
RB_Cocoon_Sales_Bundles_090226,"RB | Sales | Open Adv+ | Lookalike","RB | Static | Easter | Baby with mother | Cot",2026-04-06,inactive,ad,,,,12.63,748,449,"7-day click, 1-day view, or 1-day engaged-view",-,-,-,"RB | Sales | Open Adv+ | Lookalike",,,13,2026-04-06,2026-04-06
RB_Cocoon_Sales_Bundles_090226,"RB | Sales | Open Adv+ | Lookalike","RB | Static | Easter | Baby with mother | Cot - Copy",2026-04-06,inactive,ad,,,,10.18,646,414,"7-day click, 1-day view, or 1-day engaged-view",Average,Average,"Below average - Bottom 35% of ads","RB | Sales | Open Adv+ | Lookalike",,,10,2026-04-06,2026-04-06
RB_Cocoon_Sales_Bundles_090226,"RB | Adset - Bundles | Open adv + | 25-38 | Women","RB | Static | Vibe White grow",2026-04-06,active,ad,,,,3.18,190,139,Incremental,-,-,-,"RB | Adset - Bundles | Open adv + | 25-38 | Women",,,2,2026-04-06,2026-04-06
RB_Cocoon_Sales_Bundles_090226,"RB | Adset - Bundles | Open adv + | 25-38 | Women","RB | Static | Vibe White grow",2026-04-05,active,ad,,,,2.87,153,114,Incremental,-,-,-,"RB | Adset - Bundles | Open adv + | 25-38 | Women",,,6,2026-04-05,2026-04-05
RB_Cocoon_Sales_Bundles_090226,"RB | Sales | Open Adv+ | Lookalike","RB | Static | Easter | Baby with mother | Cot - Copy",2026-04-05,inactive,ad,"Website purchases",1,8.57,8.57,412,279,"7-day click, 1-day view, or 1-day engaged-view",-,-,-,"RB | Sales | Open Adv+ | Lookalike",1,2475.4,1,2026-04-05,2026-04-05
RB_Cocoon_Sales_Bundles_090226,"RB | Sales | Open Adv+ | Lookalike","RB | Static | Easter | Baby with mother | Cot",2026-04-05,inactive,ad,,,,13.34,943,521,"7-day click, 1-day view, or 1-day engaged-view",-,-,-,"RB | Sales | Open Adv+ | Lookalike",,,13,2026-04-05,2026-04-05
RB_Cocoon_Sales_Bundles_090226,"RB | Sales | Open Adv+ | Lookalike","RB | Static | Easter | Cot with a note",2026-04-05,inactive,ad,,,,18.11,1243,828,"7-day click, 1-day view, or 1-day engaged-view",-,-,-,"RB | Sales | Open Adv+ | Lookalike",,,14,2026-04-05,2026-04-05
"RB | Traffic | 260326","RB | Traffic | LPV | LL | FB IG | 260326","RB | AI generated Video | Bundle | Vibe Sandstone",2026-04-05,active,ad,"Landing page views",65,0.27430769,17.83,2198,1756,"7-day click or 1-day view","Above average",Average,"Below average - Bottom 10% of ads","RB | Traffic | LPV | LL | FB IG | 260326",,,84,2026-04-05,2026-04-05
RB_Cocoon_Sales_Bundles_090226,"RB | Adset - Bundles | Open adv + | 25-38 | Women","RB | AI generated Video | Bundle | Vibe Sandstone",2026-04-05,inactive,ad,,,,6.32,462,286,Incremental,-,-,-,"RB | Adset - Bundles | Open adv + | 25-38 | Women",,,1,2026-04-05,2026-04-05
RB_Cocoon_Sales_Bundles_090226,"RB | Adset - Bundles | Open adv + | 25-38 | Women","RB | Static | Evoke Bundle",2026-04-05,active,ad,,,,17.68,1245,866,Incremental,-,-,-,"RB | Adset - Bundles | Open adv + | 25-38 | Women",,,43,2026-04-05,2026-04-05
RB_Cocoon_Sales_Bundles_090226,"RB | Adset - Bundles | Open adv + | 25-38 | Women","RB | Static | Vibe Sandstone Bundle",2026-04-05,active,ad,,,,14.71,885,671,Incremental,-,-,-,"RB | Adset - Bundles | Open adv + | 25-38 | Women",,,21,2026-04-05,2026-04-05
RB_Cocoon_Sales_Bundles_090226,"RB | Adset - Bundles | Open adv + | 25-38 | Women","RB | AI generated Video | Bundle | Vibe Sandstone",2026-04-04,inactive,ad,,,,6.04,400,264,Incremental,-,-,-,"RB | Adset - Bundles | Open adv + | 25-38 | Women",,,3,2026-04-04,2026-04-04
RB_Cocoon_Sales_Bundles_090226,"RB | Adset - Bundles | Open adv + | 25-38 | Women","RB | Static | Vibe Sandstone Bundle",2026-04-04,active,ad,,,,10.9,701,539,Incremental,-,-,-,"RB | Adset - Bundles | Open adv + | 25-38 | Women",,,5,2026-04-04,2026-04-04
